Day,Number of Bicycle Hires,Month,Number of Bicycle Hires,Year,Number of Bicycle Hires,Month,Average Hire Time (mins)
04/10/2012,35136,,,,,,
05/10/2012,23773,,,,,,
06/10/2012,30424,,,,,,
07/10/2012,27168,,,,,,
08/10/2012,22984,,,,,,
09/10/2012,32965,,,,,,
10/10/2012,35221,,,,,,
11/10/2012,25324,,,,,,
12/10/2012,31694,,,,,,
13/10/2012,26289,,,,,,
14/10/2012,25440,,,,,,
15/10/2012,30558,,,,,,
16/10/2012,33253,,,,,,
17/10/2012,30285,,,,,,
18/10/2012,32566,,,,,,
19/10/2012,21001,,,,,,
20/10/2012,25411,,,,,,
21/10/2012,15563,,,,,,
22/10/2012,27294,,,,,,
23/10/2012,31996,,,,,,
24/10/2012,33882,,,,,,
25/10/2012,29515,,,,,,
26/10/2012,26404,,,,,,
27/10/2012,17144,,,,,,
28/10/2012,15305,,,,,,
29/10/2012,24276,,,,,,
30/10/2012,30325,,,,,,
31/10/2012,29241,,,,,,
01/11/2012,26888,,,,,,
02/11/2012,28748,,,,,,
03/11/2012,21498,,,,,,
04/11/2012,11693,,,,,,
05/11/2012,27666,,,,,,
06/11/2012,27038,,,,,,
07/11/2012,29537,,,,,,
08/11/2012,29895,,,,,,
09/11/2012,29349,,,,,,
10/11/2012,18018,,,,,,
11/11/2012,20971,,,,,,
12/11/2012,23680,,,,,,
13/11/2012,30511,,,,,,
14/11/2012,31453,,,,,,
15/11/2012,30165,,,,,,
16/11/2012,28143,,,,,,
17/11/2012,20325,,,,,,
18/11/2012,21664,,,,,,
19/11/2012,28127,,,,,,
20/11/2012,25921,,,,,,
21/11/2012,20554,,,,,,
22/11/2012,27783,,,,,,
23/11/2012,27973,,,,,,
24/11/2012,8902,,,,,,
25/11/2012,16894,,,,,,
26/11/2012,20656,,,,,,
27/11/2012,20388,,,,,,
28/11/2012,21403,,,,,,
29/11/2012,26212,,,,,,
30/11/2012,24838,,,,,,
01/12/2012,16068,,,,,,
02/12/2012,15227,,,,,,
03/12/2012,23592,,,,,,
04/12/2012,26144,,,,,,
05/12/2012,23111,,,,,,
06/12/2012,22645,,,,,,
07/12/2012,20140,,,,,,
08/12/2012,17805,,,,,,
09/12/2012,14147,,,,,,
10/12/2012,23937,,,,,,
11/12/2012,23531,,,,,,
12/12/2012,22344,,,,,,
13/12/2012,21704,,,,,,
14/12/2012,17085,,,,,,
15/12/2012,16962,,,,,,
16/12/2012,14128,,,,,,
17/12/2012,22899,,,,,,
18/12/2012,23651,,,,,,
19/12/2012,16828,,,,,,
20/12/2012,12401,,,,,,
21/12/2012,20395,,,,,,
22/12/2012,5644,,,,,,
23/12/2012,9184,,,,,,
24/12/2012,7985,,,,,,
25/12/2012,16816,,,,,,
26/12/2012,10405,,,,,,
27/12/2012,9013,,,,,,
28/12/2012,10947,,,,,,
29/12/2012,8498,,,,,,
30/12/2012,11343,,,,,,
31/12/2012,8865,,,,,,
01/01/2013,12149,,,,,,
02/01/2013,16203,,,,,,
03/01/2013,21269,,,,,,
04/01/2013,22435,,,,,,
05/01/2013,16242,,,,,,
06/01/2013,13622,,,,,,
07/01/2013,23348,,,,,,
08/01/2013,25909,,,,,,
09/01/2013,25341,,,,,,
10/01/2013,24363,,,,,,
11/01/2013,23869,,,,,,
12/01/2013,13562,,,,,,
13/01/2013,12260,,,,,,
14/01/2013,17427,,,,,,
15/01/2013,22797,,,,,,
16/01/2013,22460,,,,,,
17/01/2013,22210,,,,,,
18/01/2013,13108,,,,,,
19/01/2013,7843,,,,,,
20/01/2013,3728,,,,,,
21/01/2013,13467,,,,,,
22/01/2013,18061,,,,,,
23/01/2013,19404,,,,,,
24/01/2013,20721,,,,,,
25/01/2013,20178,,,,,,
26/01/2013,14595,,,,,,
27/01/2013,13689,,,,,,
28/01/2013,18689,,,,,,
29/01/2013,21268,,,,,,
30/01/2013,23415,,,,,,
31/01/2013,21957,,,,,,
01/02/2013,18081,,,,,,
02/02/2013,15757,,,,,,
03/02/2013,13572,,,,,,
04/02/2013,23017,,,,,,
05/02/2013,21177,,,,,,
06/02/2013,20664,,,,,,
07/02/2013,20852,,,,,,
08/02/2013,20571,,,,,,
09/02/2013,11274,,,,,,
10/02/2013,4901,,,,,,
11/02/2013,13468,,,,,,
12/02/2013,20342,,,,,,
13/02/2013,21051,,,,,,
14/02/2013,21034,,,,,,
15/02/2013,22952,,,,,,
16/02/2013,19072,,,,,,
17/02/2013,19044,,,,,,
18/02/2013,22724,,,,,,
19/02/2013,24525,,,,,,
20/02/2013,20938,,,,,,
21/02/2013,19757,,,,,,
22/02/2013,18313,,,,,,
23/02/2013,11234,,,,,,
24/02/2013,9404,,,,,,
25/02/2013,19800,,,,,,
26/02/2013,19595,,,,,,
27/02/2013,21484,,,,,,
28/02/2013,21985,,,,,,
01/03/2013,19487,,,,,,
02/03/2013,15265,,,,,,
03/03/2013,14520,,,,,,
04/03/2013,23036,,,,,,
05/03/2013,27054,,,,,,
06/03/2013,24324,,,,,,
07/03/2013,17322,,,,,,
08/03/2013,13843,,,,,,
09/03/2013,14244,,,,,,
10/03/2013,10163,,,,,,
11/03/2013,16546,,,,,,
12/03/2013,18794,,,,,,
13/03/2013,20245,,,,,,
14/03/2013,21984,,,,,,
15/03/2013,17159,,,,,,
16/03/2013,9190,,,,,,
17/03/2013,7940,,,,,,
18/03/2013,15852,,,,,,
19/03/2013,22479,,,,,,
20/03/2013,22216,,,,,,
21/03/2013,22061,,,,,,
22/03/2013,16233,,,,,,
23/03/2013,5249,,,,,,
24/03/2013,6786,,,,,,
25/03/2013,17290,,,,,,
26/03/2013,18384,,,,,,
27/03/2013,19184,,,,,,
28/03/2013,18052,,,,,,
29/03/2013,10909,,,,,,
30/03/2013,9793,,,,,,
31/03/2013,9007,,,,,,
01/04/2013,9421,,,,,,
02/04/2013,19148,,,,,,
03/04/2013,17801,,,,,,
04/04/2013,15626,,,,,,
05/04/2013,18059,,,,,,
06/04/2013,18216,,,,,,
07/04/2013,18090,,,,,,
08/04/2013,21797,,,,,,
09/04/2013,17555,,,,,,
10/04/2013,22233,,,,,,
11/04/2013,19240,,,,,,
12/04/2013,15100,,,,,,
13/04/2013,11291,,,,,,
14/04/2013,25074,,,,,,
15/04/2013,24923,,,,,,
16/04/2013,26060,,,,,,
17/04/2013,25730,,,,,,
18/04/2013,23979,,,,,,
19/04/2013,24297,,,,,,
20/04/2013,26724,,,,,,
21/04/2013,22466,,,,,,
22/04/2013,25384,,,,,,
23/04/2013,31359,,,,,,
24/04/2013,30193,,,,,,
25/04/2013,32000,,,,,,
26/04/2013,23125,,,,,,
27/04/2013,17337,,,,,,
28/04/2013,19139,,,,,,
29/04/2013,27644,,,,,,
30/04/2013,29219,,,,,,
01/05/2013,31175,,,,,,
02/05/2013,31239,,,,,,
03/05/2013,31340,,,,,,
04/05/2013,19156,,,,,,
05/05/2013,24342,,,,,,
06/05/2013,29015,,,,,,
07/05/2013,30707,,,,,,
08/05/2013,26032,,,,,,
09/05/2013,24250,,,,,,
10/05/2013,26399,,,,,,
11/05/2013,16627,,,,,,
12/05/2013,15918,,,,,,
13/05/2013,24836,,,,,,
14/05/2013,18054,,,,,,
15/05/2013,24015,,,,,,
16/05/2013,26070,,,,,,
17/05/2013,24932,,,,,,
18/05/2013,22272,,,,,,
19/05/2013,23994,,,,,,
20/05/2013,25914,,,,,,
21/05/2013,27649,,,,,,
22/05/2013,26967,,,,,,
23/05/2013,24701,,,,,,
24/05/2013,12891,,,,,,
25/05/2013,21087,,,,,,
26/05/2013,27251,,,,,,
27/05/2013,25819,,,,,,
28/05/2013,14556,,,,,,
29/05/2013,21440,,,,,,
30/05/2013,22150,,,,,,
31/05/2013,29136,,,,,,
01/06/2013,24782,,,,,,
02/06/2013,27202,,,,,,
03/06/2013,29940,,,,,,
04/06/2013,32397,,,,,,
05/06/2013,32488,,,,,,
06/06/2013,32829,,,,,,
07/06/2013,28762,,,,,,
08/06/2013,27264,,,,,,
09/06/2013,19429,,,,,,
10/06/2013,27336,,,,,,
11/06/2013,26601,,,,,,
12/06/2013,24401,,,,,,
13/06/2013,26388,,,,,,
14/06/2013,28797,,,,,,
15/06/2013,16020,,,,,,
16/06/2013,19970,,,,,,
17/06/2013,28611,,,,,,
18/06/2013,30871,,,,,,
19/06/2013,31899,,,,,,
20/06/2013,29959,,,,,,
21/06/2013,28844,,,,,,
22/06/2013,19483,,,,,,
23/06/2013,19006,,,,,,
24/06/2013,27636,,,,,,
25/06/2013,31889,,,,,,
26/06/2013,31156,,,,,,
27/06/2013,27306,,,,,,
28/06/2013,22074,,,,,,
29/06/2013,29054,,,,,,
30/06/2013,31237,,,,,,
01/07/2013,31151,,,,,,
02/07/2013,30163,,,,,,
03/07/2013,30780,,,,,,
04/07/2013,32941,,,,,,
05/07/2013,34704,,,,,,
06/07/2013,34191,,,,,,
07/07/2013,31363,,,,,,
08/07/2013,34263,,,,,,
09/07/2013,35519,,,,,,
10/07/2013,33629,,,,,,
11/07/2013,33792,,,,,,
12/07/2013,33173,,,,,,
13/07/2013,33509,,,,,,
14/07/2013,32169,,,,,,
15/07/2013,34419,,,,,,
16/07/2013,35580,,,,,,
17/07/2013,35203,,,,,,
18/07/2013,35330,,,,,,
19/07/2013,35196,,,,,,
20/07/2013,28332,,,,,,
21/07/2013,30075,,,,,,
22/07/2013,33176,,,,,,
23/07/2013,31624,,,,,,
24/07/2013,34038,,,,,,
25/07/2013,33683,,,,,,
26/07/2013,34681,,,,,,
27/07/2013,25761,,,,,,
28/07/2013,28177,,,,,,
29/07/2013,30415,,,,,,
30/07/2013,22742,,,,,,
31/07/2013,28976,,,,,,
01/08/2013,34770,,,,,,
02/08/2013,29109,,,,,,
03/08/2013,34928,,,,,,
04/08/2013,32580,,,,,,
05/08/2013,23864,,,,,,
06/08/2013,33631,,,,,,
07/08/2013,33084,,,,,,
08/08/2013,33737,,,,,,
09/08/2013,28206,,,,,,
10/08/2013,28830,,,,,,
11/08/2013,29530,,,,,,
12/08/2013,30425,,,,,,
13/08/2013,30933,,,,,,
14/08/2013,31412,,,,,,
15/08/2013,30865,,,,,,
16/08/2013,25555,,,,,,
17/08/2013,23931,,,,,,
18/08/2013,26910,,,,,,
19/08/2013,31183,,,,,,
20/08/2013,33578,,,,,,
21/08/2013,33214,,,,,,
22/08/2013,22363,,,,,,
23/08/2013,30665,,,,,,
24/08/2013,7341,,,,,,
25/08/2013,21638,,,,,,
26/08/2013,27802,,,,,,
27/08/2013,29563,,,,,,
28/08/2013,32024,,,,,,
29/08/2013,31639,,,,,,
30/08/2013,31127,,,,,,
31/08/2013,29718,,,,,,
01/09/2013,23856,,,,,,
02/09/2013,31292,,,,,,
03/09/2013,31600,,,,,,
04/09/2013,33406,,,,,,
05/09/2013,33574,,,,,,
06/09/2013,20930,,,,,,
07/09/2013,21279,,,,,,
08/09/2013,18046,,,,,,
09/09/2013,17943,,,,,,
10/09/2013,24558,,,,,,
11/09/2013,23386,,,,,,
12/09/2013,24246,,,,,,
13/09/2013,15392,,,,,,
14/09/2013,12977,,,,,,
15/09/2013,4826,,,,,,
16/09/2013,21892,,,,,,
17/09/2013,18428,,,,,,
18/09/2013,25319,,,,,,
19/09/2013,18746,,,,,,
20/09/2013,26196,,,,,,
21/09/2013,21988,,,,,,
22/09/2013,22683,,,,,,
23/09/2013,26625,,,,,,
24/09/2013,28666,,,,,,
25/09/2013,28183,,,,,,
26/09/2013,28857,,,,,,
27/09/2013,27371,,,,,,
28/09/2013,21716,,,,,,
29/09/2013,20654,,,,,,
30/09/2013,27089,,,,,,
01/10/2013,27711,,,,,,
02/10/2013,26467,,,,,,
03/10/2013,25153,,,,,,
04/10/2013,26522,,,,,,
05/10/2013,22996,,,,,,
06/10/2013,25143,,,,,,
07/10/2013,26680,,,,,,
08/10/2013,27598,,,,,,
09/10/2013,26433,,,,,,
10/10/2013,23497,,,,,,
11/10/2013,15640,,,,,,
12/10/2013,17068,,,,,,
13/10/2013,7068,,,,,,
14/10/2013,18979,,,,,,
15/10/2013,24657,,,,,,
16/10/2013,20562,,,,,,
17/10/2013,25170,,,,,,
18/10/2013,24880,,,,,,
19/10/2013,17430,,,,,,
20/10/2013,11396,,,,,,
21/10/2013,21385,,,,,,
22/10/2013,22316,,,,,,
23/10/2013,24178,,,,,,
24/10/2013,26399,,,,,,
25/10/2013,23677,,,,,,
26/10/2013,16986,,,,,,
27/10/2013,15652,,,,,,
28/10/2013,14577,,,,,,
29/10/2013,23126,,,,,,
30/10/2013,24753,,,,,,
31/10/2013,20055,,,,,,
01/11/2013,20597,,,,,,
02/11/2013,15347,,,,,,
03/11/2013,13063,,,,,,
04/11/2013,20369,,,,,,
05/11/2013,19326,,,,,,
06/11/2013,18431,,,,,,
07/11/2013,22527,,,,,,
08/11/2013,15188,,,,,,
09/11/2013,6772,,,,,,
10/11/2013,9767,,,,,,
11/11/2013,14377,,,,,,
12/11/2013,19572,,,,,,
13/11/2013,22021,,,,,,
14/11/2013,21061,,,,,,
15/11/2013,20850,,,,,,
16/11/2013,15029,,,,,,
17/11/2013,12340,,,,,,
18/11/2013,18491,,,,,,
19/11/2013,20335,,,,,,
20/11/2013,14115,,,,,,
21/11/2013,18668,,,,,,
22/11/2013,18789,,,,,,
23/11/2013,13276,,,,,,
24/11/2013,10505,,,,,,
25/11/2013,19201,,,,,,
26/11/2013,20486,,,,,,
27/11/2013,20274,,,,,,
28/11/2013,20649,,,,,,
29/11/2013,19397,,,,,,
30/11/2013,13323,,,,,,
01/12/2013,11711,,,,,,
02/12/2013,19630,,,,,,
03/12/2013,20242,,,,,,
04/12/2013,20035,,,,,,
05/12/2013,18326,,,,,,
06/12/2013,18494,,,,,,
07/12/2013,13625,,,,,,
08/12/2013,13076,,,,,,
09/12/2013,19969,,,,,,
10/12/2013,20432,,,,,,
11/12/2013,19123,,,,,,
12/12/2013,19420,,,,,,
13/12/2013,16921,,,,,,
14/12/2013,14049,,,,,,
15/12/2013,8557,,,,,,
16/12/2013,13825,,,,,,
17/12/2013,15689,,,,,,
18/12/2013,17311,,,,,,
19/12/2013,17738,,,,,,
20/12/2013,18046,,,,,,
21/12/2013,5774,,,,,,
22/12/2013,9233,,,,,,
23/12/2013,6246,,,,,,
24/12/2013,6201,,,,,,
25/12/2013,27715,,,,,,
26/12/2013,7666,,,,,,
27/12/2013,7258,,,,,,
28/12/2013,10533,,,,,,
29/12/2013,10983,,,,,,
30/12/2013,8413,,,,,,
31/12/2013,7701,,,,,,
01/01/2014,4327,,,,,,
02/01/2014,15820,,,,,,
03/01/2014,11636,,,,,,
04/01/2014,6918,,,,,,
05/01/2014,9145,,,,,,
06/01/2014,13066,,,,,,
07/01/2014,17420,,,,,,
08/01/2014,19770,,,,,,
09/01/2014,19143,,,,,,
10/01/2014,18840,,,,,,
11/01/2014,15723,,,,,,
12/01/2014,11975,,,,,,
13/01/2014,17721,,,,,,
14/01/2014,20740,,,,,,
15/01/2014,19243,,,,,,
16/01/2014,18861,,,,,,
17/01/2014,17434,,,,,,
18/01/2014,15333,,,,,,
19/01/2014,16083,,,,,,
20/01/2014,21218,,,,,,
21/01/2014,21756,,,,,,
22/01/2014,21072,,,,,,
23/01/2014,20020,,,,,,
24/01/2014,19272,,,,,,
25/01/2014,14581,,,,,,
26/01/2014,7033,,,,,,
27/01/2014,18285,,,,,,
28/01/2014,19939,,,,,,
29/01/2014,10585,,,,,,
30/01/2014,17052,,,,,,
31/01/2014,13859,,,,,,
01/02/2014,13981,,,,,,
02/02/2014,15924,,,,,,
03/02/2014,20370,,,,,,
04/02/2014,21217,,,,,,
05/02/2014,29418,,,,,,
06/02/2014,25395,,,,,,
07/02/2014,19857,,,,,,
08/02/2014,10928,,,,,,
09/02/2014,11657,,,,,,
10/02/2014,19278,,,,,,
11/02/2014,18514,,,,,,
12/02/2014,18000,,,,,,
13/02/2014,20954,,,,,,
14/02/2014,12794,,,,,,
15/02/2014,11208,,,,,,
16/02/2014,18484,,,,,,
17/02/2014,19013,,,,,,
18/02/2014,19484,,,,,,
19/02/2014,21556,,,,,,
20/02/2014,19396,,,,,,
21/02/2014,21269,,,,,,
22/02/2014,20033,,,,,,
23/02/2014,13680,,,,,,
24/02/2014,21469,,,,,,
25/02/2014,20713,,,,,,
26/02/2014,23938,,,,,,
27/02/2014,20629,,,,,,
28/02/2014,13781,,,,,,
01/03/2014,18823,,,,,,
02/03/2014,11727,,,,,,
03/03/2014,18150,,,,,,
04/03/2014,23069,,,,,,
05/03/2014,25102,,,,,,
06/03/2014,24696,,,,,,
07/03/2014,24385,,,,,,
08/03/2014,25556,,,,,,
09/03/2014,33955,,,,,,
10/03/2014,24347,,,,,,
11/03/2014,23871,,,,,,
12/03/2014,27173,,,,,,
13/03/2014,27552,,,,,,
14/03/2014,28134,,,,,,
15/03/2014,29664,,,,,,
16/03/2014,34421,,,,,,
17/03/2014,26465,,,,,,
18/03/2014,25502,,,,,,
19/03/2014,26719,,,,,,
20/03/2014,23718,,,,,,
21/03/2014,23821,,,,,,
22/03/2014,19091,,,,,,
23/03/2014,17463,,,,,,
24/03/2014,24055,,,,,,
25/03/2014,19421,,,,,,
26/03/2014,20493,,,,,,
27/03/2014,23462,,,,,,
28/03/2014,24198,,,,,,
29/03/2014,29511,,,,,,
30/03/2014,26605,,,,,,
31/03/2014,26715,,,,,,
01/04/2014,29782,,,,,,
02/04/2014,28876,,,,,,
03/04/2014,28245,,,,,,
04/04/2014,27401,,,,,,
05/04/2014,25648,,,,,,
06/04/2014,16387,,,,,,
07/04/2014,18883,,,,,,
08/04/2014,26654,,,,,,
09/04/2014,29621,,,,,,
10/04/2014,29229,,,,,,
11/04/2014,28435,,,,,,
12/04/2014,25706,,,,,,
13/04/2014,31404,,,,,,
14/04/2014,28742,,,,,,
15/04/2014,30031,,,,,,
16/04/2014,30934,,,,,,
17/04/2014,27676,,,,,,
18/04/2014,22152,,,,,,
19/04/2014,21424,,,,,,
20/04/2014,7188,,,,,,
21/04/2014,20532,,,,,,
22/04/2014,22689,,,,,,
23/04/2014,27102,,,,,,
24/04/2014,29119,,,,,,
25/04/2014,20400,,,,,,
26/04/2014,25195,,,,,,
27/04/2014,21284,,,,,,
28/04/2014,29474,,,,,,
29/04/2014,46333,,,,,,
30/04/2014,49025,,,,,,
01/05/2014,16644,,,,,,
02/05/2014,26510,,,,,,
03/05/2014,31534,,,,,,
04/05/2014,33030,,,,,,
05/05/2014,33748,,,,,,
06/05/2014,32323,,,,,,
07/05/2014,28802,,,,,,
08/05/2014,19398,,,,,,
09/05/2014,30131,,,,,,
10/05/2014,19373,,,,,,
11/05/2014,17645,,,,,,
12/05/2014,26149,,,,,,
13/05/2014,25351,,,,,,
14/05/2014,34122,,,,,,
15/05/2014,35148,,,,,,
16/05/2014,36268,,,,,,
17/05/2014,38147,,,,,,
18/05/2014,43663,,,,,,
19/05/2014,37088,,,,,,
20/05/2014,33626,,,,,,
21/05/2014,34437,,,,,,
22/05/2014,30819,,,,,,
23/05/2014,30556,,,,,,
24/05/2014,18723,,,,,,
25/05/2014,33401,,,,,,
26/05/2014,12049,,,,,,
27/05/2014,14446,,,,,,
28/05/2014,21978,,,,,,
29/05/2014,29229,,,,,,
30/05/2014,31331,,,,,,
31/05/2014,35040,,,,,,
01/06/2014,36655,,,,,,
02/06/2014,33481,,,,,,
03/06/2014,29332,,,,,,
04/06/2014,25905,,,,,,
05/06/2014,34617,,,,,,
06/06/2014,37440,,,,,,
07/06/2014,29919,,,,,,
08/06/2014,44415,,,,,,
09/06/2014,34305,,,,,,
10/06/2014,40128,,,,,,
11/06/2014,39582,,,,,,
12/06/2014,39928,,,,,,
13/06/2014,40036,,,,,,
14/06/2014,32758,,,,,,
15/06/2014,28944,,,,,,
16/06/2014,31592,,,,,,
17/06/2014,37658,,,,,,
18/06/2014,35431,,,,,,
19/06/2014,36113,,,,,,
20/06/2014,36924,,,,,,
21/06/2014,42463,,,,,,
22/06/2014,41596,,,,,,
23/06/2014,35206,,,,,,
24/06/2014,38066,,,,,,
25/06/2014,39623,,,,,,
26/06/2014,35438,,,,,,
27/06/2014,35912,,,,,,
28/06/2014,20199,,,,,,
29/06/2014,26714,,,,,,
30/06/2014,32193,,,,,,
01/07/2014,39495,,,,,,
02/07/2014,40878,,,,,,
03/07/2014,43116,,,,,,
04/07/2014,38316,,,,,,
05/07/2014,27332,,,,,,
06/07/2014,31117,,,,,,
07/07/2014,36191,,,,,,
08/07/2014,35107,,,,,,
09/07/2014,38844,,,,,,
10/07/2014,32108,,,,,,
11/07/2014,27618,,,,,,
12/07/2014,38331,,,,,,
13/07/2014,33227,,,,,,
14/07/2014,38450,,,,,,
15/07/2014,40888,,,,,,
16/07/2014,42341,,,,,,
17/07/2014,42404,,,,,,
18/07/2014,40543,,,,,,
19/07/2014,37061,,,,,,
20/07/2014,34379,,,,,,
21/07/2014,38499,,,,,,
22/07/2014,42928,,,,,,
23/07/2014,42486,,,,,,
24/07/2014,42412,,,,,,
25/07/2014,31881,,,,,,
26/07/2014,43788,,,,,,
27/07/2014,39917,,,,,,
28/07/2014,36203,,,,,,
29/07/2014,42308,,,,,,
30/07/2014,43044,,,,,,
31/07/2014,41970,,,,,,
01/08/2014,40009,,,,,,
02/08/2014,38046,,,,,,
03/08/2014,41944,,,,,,
04/08/2014,39856,,,,,,
05/08/2014,40716,,,,,,
06/08/2014,38665,,,,,,
07/08/2014,42491,,,,,,
08/08/2014,34234,,,,,,
09/08/2014,47454,,,,,,
10/08/2014,23980,,,,,,
11/08/2014,31725,,,,,,
12/08/2014,34827,,,,,,
13/08/2014,37856,,,,,,
14/08/2014,27185,,,,,,
15/08/2014,32510,,,,,,
16/08/2014,47245,,,,,,
17/08/2014,39952,,,,,,
18/08/2014,30784,,,,,,
19/08/2014,35332,,,,,,
20/08/2014,36817,,,,,,
21/08/2014,33236,,,,,,
22/08/2014,34047,,,,,,
23/08/2014,29999,,,,,,
24/08/2014,30962,,,,,,
25/08/2014,6175,,,,,,
26/08/2014,18448,,,,,,
27/08/2014,32286,,,,,,
28/08/2014,31842,,,,,,
29/08/2014,32439,,,,,,
30/08/2014,30832,,,,,,
31/08/2014,33312,,,,,,
01/09/2014,27455,,,,,,
02/09/2014,36836,,,,,,
03/09/2014,36523,,,,,,
04/09/2014,35448,,,,,,
05/09/2014,35013,,,,,,
06/09/2014,33434,,,,,,
07/09/2014,34248,,,,,,
08/09/2014,36983,,,,,,
09/09/2014,37674,,,,,,
10/09/2014,37091,,,,,,
11/09/2014,35303,,,,,,
12/09/2014,37144,,,,,,
13/09/2014,34174,,,,,,
14/09/2014,31770,,,,,,
15/09/2014,36629,,,,,,
16/09/2014,37535,,,,,,
17/09/2014,38583,,,,,,
18/09/2014,38442,,,,,,
19/09/2014,36841,,,,,,
20/09/2014,31031,,,,,,
21/09/2014,33334,,,,,,
22/09/2014,35178,,,,,,
23/09/2014,36460,,,,,,
24/09/2014,32680,,,,,,
25/09/2014,35367,,,,,,
26/09/2014,35474,,,,,,
27/09/2014,35087,,,,,,
28/09/2014,37873,,,,,,
29/09/2014,31701,,,,,,
30/09/2014,37373,,,,,,
01/10/2014,32733,,,,,,
02/10/2014,36992,,,,,,
03/10/2014,37909,,,,,,
04/10/2014,18967,,,,,,
05/10/2014,33082,,,,,,
06/10/2014,24330,,,,,,
07/10/2014,31465,,,,,,
08/10/2014,23573,,,,,,
09/10/2014,26642,,,,,,
10/10/2014,32510,,,,,,
11/10/2014,30498,,,,,,
12/10/2014,23063,,,,,,
13/10/2014,13299,,,,,,
14/10/2014,28518,,,,,,
15/10/2014,25424,,,,,,
16/10/2014,31541,,,,,,
17/10/2014,32770,,,,,,
18/10/2014,28951,,,,,,
19/10/2014,30480,,,,,,
20/10/2014,31642,,,,,,
21/10/2014,24681,,,,,,
22/10/2014,30642,,,,,,
23/10/2014,31277,,,,,,
24/10/2014,29144,,,,,,
25/10/2014,30053,,,,,,
26/10/2014,26514,,,,,,
27/10/2014,33716,,,,,,
28/10/2014,35320,,,,,,
29/10/2014,23281,,,,,,
30/10/2014,32503,,,,,,
31/10/2014,36478,,,,,,
01/11/2014,31912,,,,,,
02/11/2014,15887,,,,,,
03/11/2014,22347,,,,,,
04/11/2014,23525,,,,,,
05/11/2014,27970,,,,,,
06/11/2014,28274,,,,,,
07/11/2014,26779,,,,,,
08/11/2014,17473,,,,,,
09/11/2014,24099,,,,,,
10/11/2014,28303,,,,,,
11/11/2014,28993,,,,,,
12/11/2014,24878,,,,,,
13/11/2014,27839,,,,,,
14/11/2014,21442,,,,,,
15/11/2014,22842,,,,,,
16/11/2014,17849,,,,,,
17/11/2014,21398,,,,,,
18/11/2014,26094,,,,,,
19/11/2014,28807,,,,,,
20/11/2014,29068,,,,,,
21/11/2014,24070,,,,,,
22/11/2014,18347,,,,,,
23/11/2014,6030,,,,,,
24/11/2014,25884,,,,,,
25/11/2014,24359,,,,,,
26/11/2014,23096,,,,,,
27/11/2014,26765,,,,,,
28/11/2014,26782,,,,,,
29/11/2014,24337,,,,,,
30/11/2014,19998,,,,,,
01/12/2014,24983,,,,,,
02/12/2014,21614,,,,,,
03/12/2014,25376,,,,,,
04/12/2014,19993,,,,,,
05/12/2014,22939,,,,,,
06/12/2014,17431,,,,,,
07/12/2014,12789,,,,,,
08/12/2014,23519,,,,,,
09/12/2014,23925,,,,,,
10/12/2014,25028,,,,,,
11/12/2014,23028,,,,,,
12/12/2014,20436,,,,,,
13/12/2014,18255,,,,,,
14/12/2014,14441,,,,,,
15/12/2014,22940,,,,,,
16/12/2014,23087,,,,,,
17/12/2014,22120,,,,,,
18/12/2014,23196,,,,,,
19/12/2014,21966,,,,,,
20/12/2014,14690,,,,,,
21/12/2014,11802,,,,,,
22/12/2014,18552,,,,,,
23/12/2014,16551,,,,,,
24/12/2014,10385,,,,,,
25/12/2014,39145,,,,,,
26/12/2014,7678,,,,,,
27/12/2014,6349,,,,,,
28/12/2014,9293,,,,,,
29/12/2014,12411,,,,,,
30/12/2014,13120,,,,,,
31/12/2014,12811,,,,,,
01/01/2015,9615,,,,,,
02/01/2015,15389,,,,,,
03/01/2015,5779,,,,,,
04/01/2015,9367,,,,,,
05/01/2015,20566,,,,,,
06/01/2015,20765,,,,,,
07/01/2015,22504,,,,,,
08/01/2015,15769,,,,,,
09/01/2015,22285,,,,,,
10/01/2015,14877,,,,,,
11/01/2015,14738,,,,,,
12/01/2015,17354,,,,,,
13/01/2015,24966,,,,,,
14/01/2015,23767,,,,,,
15/01/2015,23123,,,,,,
16/01/2015,22894,,,,,,
17/01/2015,15443,,,,,,
18/01/2015,13373,,,,,,
19/01/2015,23193,,,,,,
20/01/2015,23384,,,,,,
21/01/2015,22987,,,,,,
22/01/2015,23432,,,,,,
23/01/2015,22093,,,,,,
24/01/2015,17748,,,,,,
25/01/2015,15267,,,,,,
26/01/2015,22867,,,,,,
27/01/2015,25222,,,,,,
28/01/2015,21685,,,,,,
29/01/2015,21421,,,,,,
30/01/2015,21405,,,,,,
31/01/2015,10385,,,,,,
01/02/2015,11420,,,,,,
02/02/2015,21770,,,,,,
03/02/2015,20028,,,,,,
04/02/2015,22056,,,,,,
05/02/2015,21396,,,,,,
06/02/2015,21146,,,,,,
07/02/2015,13324,,,,,,
08/02/2015,15983,,,,,,
09/02/2015,24078,,,,,,
10/02/2015,24399,,,,,,
11/02/2015,23870,,,,,,
12/02/2015,23429,,,,,,
13/02/2015,17836,,,,,,
14/02/2015,14644,,,,,,
15/02/2015,17253,,,,,,
16/02/2015,16548,,,,,,
17/02/2015,25288,,,,,,
18/02/2015,25340,,,,,,
19/02/2015,17081,,,,,,
20/02/2015,21014,,,,,,
21/02/2015,16490,,,,,,
